what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1384901433073
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.selectAll",1384901435297
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1384901435991
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1384901440199
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1384902016549
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1384902019637
closed,editor,org.eclipse.ui.browser,3.3.0.v20100517,"org.eclipse.ui.browser.editor",1384902019637
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1384902024865
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.ui.navigator"".",1384902025084
error,log,,,"An exception occurred invoking extension: org.eclipse.jst.jee.ui.web for object P/QuizWebsite",1384902025085
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1384902026789
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1384902027855
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1384902029015
closed,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1384902029341
stopped,bundle,org.eclipse.jst.j2ee.xdoclet.runtime,1.1.300.v201004280700,"org.eclipse.jst.j2ee.xdoclet.runtime",1384902030327
stopped,bundle,org.eclipse.jst.j2ee.ejb.annotations.xdoclet,1.2.100.v201003112036,"org.eclipse.jst.j2ee.ejb.annotations.xdoclet",1384902030391
stopped,bundle,org.eclipse.jst.server.generic.jboss,1.6.1.v200904151730,"org.eclipse.jst.server.generic.jboss",1384902030465
stopped,bundle,org.eclipse.jst.server.generic.jonas,1.5.205.v200805140145,"org.eclipse.jst.server.generic.jonas",1384902030513
stopped,bundle,org.eclipse.jst.server.generic.oc4j,1.5.206.v20090812,"org.eclipse.jst.server.generic.oc4j",1384902030575
stopped,bundle,org.eclipse.jst.server.websphere.core,1.0.302.v20080620,"org.eclipse.jst.server.websphere.core",1384902030622
activated,perspective,org.eclipse.jst.j2ee.ui,,"org.eclipse.jst.j2ee.J2EEPerspective",1385504520881
